+5V:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
CRYSTAL:1
DZ1:1
DZ2:1
F1:1
MISO:1
PRG:1
PWR:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
Self:1
Slow:1
U1:1
U2:1
USB-A-MALE:1
V-target:1
